"","rejection_frequency","Inference","G"
"1",0.31255,"CRV1",6
"2",0.22479,"CRV3",6
"3",0.17678,"bootstrap-C",6
"4",0.14688,"bootstrap-S",6
"5",0.12676,"bootstrap-V",6
"6",0.117,"CRV1",12
"7",0.10627,"CRV3",12
"8",0.1004,"bootstrap-C",12
"9",0.09443,"bootstrap-S",12
"10",0.0892,"bootstrap-V",12
"11",0.08707,"CRV1",18
"12",0.08451,"CRV3",18
"13",0.08248,"bootstrap-C",18
"14",0.08111,"bootstrap-S",18
"15",0.01722,"bootstrap-V",18
"16",0.03234,"CRV1",24
"17",0.04102,"CRV3",24
"18",0.0432,"bootstrap-C",24
"19",0.04476,"bootstrap-S",24
"20",0.04689,"bootstrap-V",24
"21",0.04702,"CRV1",30
"22",0.04851,"CRV3",30
"23",0.04788,"bootstrap-C",30
"24",0.04841,"bootstrap-S",30
"25",0.04984,"bootstrap-V",30
"26",0.05015,"CRV1",36
"27",0.05093,"CRV3",36
"28",0.05041,"bootstrap-C",36
"29",0.11317,"bootstrap-S",36
"30",0.08649,"bootstrap-V",36
"31",0.07039,"CRV1",42
"32",0.06123,"CRV3",42
"33",0.05733,"bootstrap-C",42
"34",0.05581,"bootstrap-S",42
"35",0.05371,"bootstrap-V",42
"36",0.05374,"CRV1",48
"37",0.05154,"CRV3",48
"38",0.05155,"bootstrap-C",48
"39",0.05174,"bootstrap-S",48
"40",0.05188,"bootstrap-V",48
"41",0.05191,"CRV1",54
"42",0.05233,"CRV3",54
"43",0.05843,"bootstrap-C",54
"44",0.06274,"bootstrap-S",54
"45",0.05903,"bootstrap-V",54
"46",0.05475,"CRV1",60
"47",0.0533,"CRV3",60
"48",0.05271,"bootstrap-C",60
"49",0.05077,"bootstrap-S",60
"50",0.05165,"bootstrap-V",60
"51",0.04966,"CRV1",66
"52",0.05027,"CRV3",66
"53",0.05094,"bootstrap-C",66
"54",0.05115,"bootstrap-S",66
"55",0.05148,"bootstrap-V",66
"56",0.05147,"CRV1",72
"57",0.02189,"CRV3",72
"58",0.0518,"bootstrap-C",72
"59",0.05241,"bootstrap-S",72
"60",0.05029,"bootstrap-V",72
"61",0.04915,"CRV1",78
"62",0.0495,"CRV3",78
"63",0.04874,"bootstrap-C",78
"64",0.04954,"bootstrap-S",78
"65",0.04823,"bootstrap-V",78
"66",0.04883,"CRV1",84
"67",0.04922,"CRV3",84
"68",0.05011,"bootstrap-C",84
"69",0.05051,"bootstrap-S",84
"70",0.04989,"bootstrap-V",84
