"","rejection_frequency","Inference","G"
"1",0.24404,"CRV1",6
"2",0.2144,"CRV3",6
"3",0.18513,"bootstrap-C",6
"4",0.16166,"bootstrap-S",6
"5",0.14608,"bootstrap-V",6
"6",0.13376,"CRV1",12
"7",0.12482,"CRV3",12
"8",0.02338,"bootstrap-C",12
"9",0.03347,"bootstrap-S",12
"10",0.0415,"bootstrap-V",12
"11",0.04472,"CRV1",18
"12",0.04751,"CRV3",18
"13",0.05051,"bootstrap-C",18
"14",0.0517,"bootstrap-S",18
"15",0.10133,"bootstrap-V",18
"16",0.07444,"CRV1",24
"17",0.06489,"CRV3",24
"18",0.05852,"bootstrap-C",24
"19",0.05538,"bootstrap-S",24
"20",0.05455,"bootstrap-V",24
"21",0.05288,"CRV1",30
"22",0.05768,"CRV3",30
"23",0.05363,"bootstrap-C",30
"24",0.05156,"bootstrap-S",30
"25",0.04941,"bootstrap-V",30
"26",0.05024,"CRV1",36
"27",0.05135,"CRV3",36
"28",0.05038,"bootstrap-C",36
"29",0.01512,"bootstrap-S",36
"30",0.0415,"bootstrap-V",36
"31",0.04526,"CRV1",42
"32",0.04571,"CRV3",42
"33",0.04686,"bootstrap-C",42
"34",0.04832,"bootstrap-S",42
"35",0.04686,"bootstrap-V",42
